Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-11:00,2.026739404,0.764887636,-0.366384641,0.999983666,1.496001872,-0.843829836,-0.394094276,-0.611662892,-0.921746055,0.45046053,-1.356023472,-1.610349145,-1.31397687,1.059234298,0.616586863,-0.373953003,-0.612672211,0.867304227,-0.906685435,-0.67265827,0.378071321,-1.167853199
31-12:00,2.220993586,1.181614507,-0.57617983,0.980895209,1.260456843,-0.765257086,0.446933748,-0.062469279,-0.971944379,0.734351131,-1.354913189,-1.637734012,-1.160695741,1.002826235,0.537825667,-0.107067273,-0.846992616,0.868593939,-0.693444574,-0.546480918,0.413722734,-0.565038503
31-13:00,1.165992424,1.582105267,-1.334730346,0.505221567,-0.150740776,-0.740297367,0.682940521,0.429911201,-0.823637265,-0.020118998,-1.310501863,-1.530301073,-1.389907799,0.902761357,0.378792785,-0.105295124,-0.424721022,0.872429487,0.648016337,0.450058207,0.200589283,-0.643229415
31-14:00,1.618135779,1.412979102,-1.869786361,-0.354066572,-1.643856919,-0.690154074,0.75619304,1.348390174,-0.117840149,0.84235299,-1.216127796,-0.931344882,-0.237638205,0.948795524,0.538041451,0.962176909,-0.969113682,0.869017125,0.827159281,1.080508369,-0.173750561,-0.136850177
31-15:00,1.182738475,0.990163688,-1.026561045,-0.298507652,-2.423464594,-0.517114942,1.250745823,1.303886554,0.202370432,0.888639501,-1.185039868,-0.741055166,0.29937797,1.044970191,0.567172304,1.123584294,-0.851542448,0.983069264,0.902977436,1.133555249,0.402097273,-0.118233293
31-16:00,-1.06123225,0.555847695,-0.025858867,-0.145502356,-2.959342415,-0.694743081,0.862861287,0.571944032,0.525601586,-1.257511726,-1.185039868,-1.057736575,0.32279592,0.612724497,0.022533237,1.139817184,-0.758812156,0.969567597,0.913840163,1.557275389,0.338544753,-0.345173106
31-17:00,-0.927263848,-0.227544703,0.719775155,-0.287455396,-2.311734098,-0.377094274,0.845563734,0.373098069,0.453347101,0.888639501,-1.182819302,-1.005775546,0.182997854,1.350567896,0.970688571,1.483330663,0.281528443,0.840844991,0.911238018,0.616402744,1.162402422,0.533357638
31-18:00,-0.19043764,-0.915549944,1.672334033,-0.265430253,-0.791101013,-0.841591296,0.093775362,0.373098069,-0.030363176,-1.462715258,-1.185039868,-1.084419266,-0.450528662,0.818473447,0.957309957,0.743068332,-0.789448233,0.825469212,0.448418324,0.008219173,0.839214607,-0.637458181
31-19:00,-0.089961339,-1.541316756,0.295879278,-0.528382682,0.484607865,-0.926991592,-0.671379302,0.524599755,-0.235717239,-0.808532569,-1.185039868,-0.758609568,0.016056255,0.888065004,1.228982138,0.779149298,-1.168240039,0.814338734,0.153737693,-0.518320228,0.933768356,-1.905454133
31-20:00,0.077499162,-0.780249011,-0.372908123,-0.459122536,1.053248411,-1.183192479,-1.13526824,0.155314395,-0.650986131,-1.117109309,-1.185039868,-0.680668024,-0.399967178,0.691177091,0.78274062,0.154360235,-1.229512192,0.809166453,0.13689126,-1.159903686,1.158527268,-1.305990476
31-21:00,0.814325371,-0.182218891,0.147143882,-0.414427369,1.352164373,-1.193377835,-0.712788597,0.467786623,-1.158292762,-0.731388384,-1.185039868,-0.551467626,-0.79966901,0.716895709,0.80798736,-0.551593279,-1.034935666,0.816065066,0.169884493,-2.019568762,1.162402422,-2.38949311
31-22:00,0.713849069,-0.577297613,0.303055108,-0.5285315,1.104945135,-1.244640398,-0.156908124,0.231065238,-1.614623494,-0.541613689,-1.185039868,-0.935557939,-1.845493375,0.44133908,0.586592873,-1.361182102,-1.274221004,0.81949758,0.140027335,-1.478839866,1.549142758,-0.995088517
31-23:00,0.278451765,-0.988612447,0.692637468,-0.413772568,-0.353569916,-1.069362727,0.348390109,0.562475177,-1.062456878,-2.1971279,-1.185039868,-0.635026579,-1.122730277,0.654220084,0.609465988,-0.648919735,-0.912806462,0.825489364,0.150116784,0.034196863,0.650107108,-1.775135947
1-00:00,0.044007062,-1.192916855,1.159327389,-0.245121483,0.161301353,-1.005564341,0.690934088,-0.176095544,-0.504966876,-1.203510797,-1.185039868,-0.885001261,-0.261056156,0.835547152,1.014924311,0.029955334,-1.11585593,0.822056851,0.392398564,-0.861705999,0.078909458,-0.982056699
1-01:00,-0.558850744,-1.2138885,0.976669886,-0.448943348,0.501902556,-1.133049186,-0.088897288,-0.043531568,-0.7757268,-1.718833953,-1.185039868,-1.153232521,-1.201322337,0.665890718,0.826329008,-0.435269379,-0.587001068,0.822480037,0.679125469,-0.606731695,0.433098503,-1.570350225
1-02:00,0.261705714,-1.264626349,0.916523379,-0.389376249,0.437911028,-1.139876733,-0.841996081,0.30492231,-1.108094437,-1.57997442,-1.185039868,-0.20037959,-0.628292192,0.662216629,0.713042356,-0.590367912,0.287323577,0.905478343,0.979581144,-0.888120289,0.693508829,-0.267168363
1-03:00,0.177975464,-1.129325417,-0.152936301,-0.508579895,0.428742617,-1.197966842,-1.783140248,-0.57378747,-1.276857705,-0.81316122,-1.185039868,0.161241088,-0.784589269,0.706954058,0.724910481,-0.673091855,-1.697721622,0.936115707,0.986221523,-0.791413425,0.614455694,-1.261309955
1-04:00,-0.1435487,-0.408171448,-0.494453644,-0.013665009,0.178818522,-1.161590569,-1.843157517,0.505662044,-1.322570031,-1.626260931,-1.185039868,0.166858497,-0.754607196,0.763145999,0.785330029,-0.722003184,-0.937647403,0.871986148,1.041885329,-0.665017773,0.697383982,-0.769824224
1-05:00,1.199484525,0.133032282,-1.988383268,-0.597474167,0.091888402,-1.02940479,-0.835443977,0.874947405,-1.267048322,0.02925328,-1.143959392,0.098045242,-0.780686277,0.84224696,0.900342954,-0.480352865,-0.465523002,0.866464571,1.216449972,-0.823066913,0.571053973,-0.190839139
1-06:00,-1.496629555,1.323003982,-2.428065972,-1.374882348,-0.155120068,-1.39383908,-0.388852593,0.742383429,-1.242704302,-0.962820939,-1.137297693,0.173880258,-1.166905046,-0.001496633,0.254932712,-0.685000701,-1.757414764,-0.94347751,1.238322718,-0.203313447,0.725285089,0.849844662
1-07:00,-2.709043588,1.091639387,-1.26714707,-0.428336942,-0.810901502,-1.032874527,0.44640958,0.723445718,0.01602205,-0.015490347,0.675794674,-0.261468908,-0.732963333,-0.06654961,-0.300711345,-0.100758421,0.535716718,-1.838779074,2.756042119,0.853476454,-0.36285806,0.092137494
1-10:00,-2.812869099,-1.129325417,3.563752478,0.199627667,-0.833313174,-0.690154074,1.066893795,-0.498036627,1.353552444,-1.147966983,0.735749963,0.053105973,1.655844993,0.625691868,0.400155411,0.059727447,-2.748000226,-1.249045081,-1.31746837,0.828808564,-1.702886196,-0.471954084
1-11:00,-2.598519657,-2.296295958,3.563361069,0.076187654,-0.51198554,-1.177484202,0.569589128,-1.085105662,0.924900323,-0.422811644,0.648037595,-0.469313026,0.611617306,-0.330219482,0.118988729,0.70975192,-3.160325676,-1.217756144,-1.320874479,-0.409170269,-0.666670107,-0.074669785
1-12:00,-2.02245553,-2.370034966,0.765309061,-0.304033781,0.935686665,-1.611313228,0.021702222,-2.221368309,0.131626234,-1.441114887,0.619170234,-1.275411158,-0.504638319,-0.722482449,-0.107153007,-1.097911557,-2.223483575,-2.228231627,-1.337935712,-1.783586551,0.307543524,0.309955033
1-13:00,-0.709565196,-0.960199251,-0.361687733,-0.572800054,1.550192685,-1.490544002,-0.072910155,-2.495965115,-0.468450848,0.118740535,0.620280517,-1.396887619,-0.351179782,-0.825573047,-0.711132702,-0.043978748,-2.26901445,-1.890871325,-1.345447564,-2.487603786,0.855490252,0.777238816
1-14:00,1.249722675,-0.28369459,0.075646517,-0.4223842,1.533108762,-1.774055076,-0.411522871,-1.388109034,-1.50054455,-1.302255354,0.515913902,-2.1369812,-2.235437727,-1.16899225,-1.038045614,-1.84448274,-1.725460131,-1.177170537,-1.34753419,-3.092949457,1.10737524,-0.509187852
1-15:00,2.187501486,-0.526559763,-0.539909268,-0.575885558,0.35182398,-1.988171414,-0.739390138,-1.255545059,-1.685352739,0.495204158,0.514803619,-2.196666167,-3.236909915,-1.54634274,-1.195568006,-2.164532958,-1.062674175,-1.172965541,-0.90669771,-1.67945749,1.718099457,0.950375834
1-16:00,1.383691077,-0.131481041,-0.841033209,-0.612425469,-1.815000592,-1.870200363,-0.55684853,-1.189263071,-0.447157308,-0.607957688,0.514803619,-1.385652802,-1.005463117,-1.396353485,-1.153274323,-0.155765944,-1.1446444,-1.164904844,-0.163846723,-1.011459742,0.950044001,-0.080999525
1-17:00,0.579880668,0.110707628,-0.309369406,-0.433297559,-1.476062115,-1.689885977,-0.454111545,-1.037761385,0.101211163,0.345544439,0.548112113,-0.849190281,-0.642662298,-1.293911255,-1.00891476,0.492486379,-0.774952257,-1.18128821,-1.636396818,-1.131961297,0.374196167,0.488677117
1-18:00,1.015277973,-0.216044124,-0.301671697,-0.432067326,-0.41021969,-1.714845697,-0.271569937,-0.55484976,-0.09425875,-1.363970702,0.562545794,-0.813379302,-0.710432427,-1.418181892,-0.946337371,0.033570519,-1.090827786,-1.170460007,-1.636396818,-0.549318817,0.595079926,-0.955993062
1-19:00,0.814325371,-0.222132666,-0.920619693,-0.448288547,-0.752331397,-1.590830588,-0.326214482,-0.838915421,0.251806137,0.317772532,0.569207492,-0.227764456,-0.50729945,-1.441739283,-0.92260112,0.594349538,-1.093310252,-1.175457639,-1.452110955,0.049477858,0.330794446,0.092882169
1-20:00,0.479404367,0.325159606,-1.377654859,-0.126126183,-0.362106023,-1.512257839,-0.320841757,-0.005656147,0.473892975,-0.823961406,0.571428059,-0.206699174,-0.381871489,-1.252847915,-0.69732252,0.744911368,-0.642478086,-1.180495575,0.818941659,-0.348046292,0.106035534,-0.080999525
1-21:00,0.311943865,1.069314734,-1.582100793,-0.019542349,0.242599282,-1.515615649,-0.31284819,-0.176095544,0.196284427,-0.553956759,0.514803619,-0.765631329,-0.853778667,-1.267976514,-0.741342476,0.227372799,-0.679324398,-1.171292946,0.944304897,-0.769583433,0.30289334,-0.38445473
1-22:00,0.044007062,1.26617759,-1.557963909,-0.126483348,-0.105097779,-1.537217559,-0.379548605,-0.166626689,0.105009309,-0.823961406,0.513693335,-1.286645975,-1.027994024,-1.303204538,-0.76572608,-0.056596453,-2.087281635,-1.177681048,1.37432161,-0.491469338,0.500526176,-0.918759294
1-23:00,-0.458374443,0.94686739,-0.819375248,0.404630159,-0.727519311,-1.487186193,-0.306165045,0.799196562,0.53473807,-0.345667459,0.513693335,-1.281028567,-0.488494126,-1.271218357,-0.748463352,0.187747534,-1.568372917,-1.169902476,-0.200644979,0.188971505,0.315293831,0.184104899
2-00:00,-0.927263848,0.927925259,-0.734569979,0.483474219,-0.854471946,-1.190020026,-0.119561133,0.647694875,1.072444817,-1.178824657,0.401554738,-1.071077921,0.006121367,-1.195143115,-0.648123745,0.578116647,-1.241509423,-1.161579807,-1.636396818,0.886876342,0.007606631,-0.341635898
2-01:00,-1.195200651,0.494285771,0.018239873,0.50837652,0.073961406,-1.138757463,0.128370469,0.032219275,1.327997205,-1.996553019,0.408216437,0.074171255,1.047333106,-1.074546566,-0.29574831,1.217295565,-0.516629251,-1.186608269,0.644192902,0.459663403,-0.279929771,-1.179395667
2-02:00,-0.833485967,0.24600856,0.012368739,0.50178882,0.44192733,-1.227515568,0.033758092,-0.668476024,1.104400081,-0.183664671,0.306070388,-0.325366931,0.676194077,-1.211784574,-0.477438522,0.722511397,-0.993946484,-1.186897111,0.372201256,0.460536603,-0.026494722,0.196392043
2-03:00,-0.347850512,0.24600856,-0.039819119,0.572904236,0.615096719,-1.177484202,0.197691725,-0.374941507,1.089940212,-2.1971279,0.294967557,-0.215827463,0.956322436,-1.143273631,-0.455428544,1.092890663,-0.606470115,-1.177963172,0.291829347,-0.155724065,-0.102447733,-0.807057992
2-04:00,-0.046421609,0.34748426,-0.187380288,0.548210281,0.817293555,-0.949712771,0.152351168,-0.337066086,0.62143747,-0.623386525,0.192821508,-0.675050615,0.011443628,-1.240745035,-0.569578333,0.487028158,-0.575003837,-1.175464356,0.791109755,-0.56590961,0.113785841,-0.37980051
2-05:00,0.077499162,0.460460538,-0.850296554,0.4921553,0.613433993,-0.714106451,-0.132927424,-0.630600603,0.432816181,-1.055393961,0.172836412,-0.863233803,-0.436158556,-1.273379585,-0.689985861,0.304000547,-1.162851866,-1.173791762,1.392726875,-0.54124172,0.287392725,-1.123545015
2-06:00,0.817674581,1.052402117,-0.369385442,0.41708131,0.562568632,-0.69922016,-0.219546235,-0.649538314,0.398588012,-0.017033231,0.176167261,-0.598513423,-0.12391922,-1.291317781,-0.787088706,0.491564861,-0.965801014,-1.166846128,1.468876435,-0.720247652,0.24011585,-0.397486549
2-07:00,0.606674348,0.522022462,-1.409358983,0.492740653,0.241978687,-0.657135611,-0.064916589,-0.005656147,0.330131673,-0.85481908,0.079572628,-0.741055166,-0.159046145,-1.248309335,-0.875775971,0.57542298,-1.051905969,-1.177963172,1.498678358,-0.464400149,0.402097273,-1.123545015
2-08:00,0.656912499,1.655167771,-1.416795753,0.476946045,0.120447475,-0.592217955,0.008466972,0.600350598,0.446498477,-0.305552483,0.072910929,-0.648367924,0.052070224,-1.238583807,-0.879012732,0.682673474,-0.804758132,-1.205618079,1.497119526,0.005162974,0.243991004,-0.395624861
2-09:00,0.057403902,0.927925259,-0.960934813,0.213051099,-0.160951318,-0.397464987,0.168338301,0.070094696,0.889924487,-0.762246058,0.070690363,-0.47212173,0.498785364,-0.970159231,-0.744795022,1.227219603,-0.393262883,-1.181012803,1.452729635,0.543927171,0.015356938,-1.421415155
2-10:00,-1.620550326,0.234507981,-0.361035385,0.070443258,-0.547628763,-0.273226024,0.281689694,-0.886259698,1.089940212,-0.11269202,-0.000367758,-0.663113622,0.934501164,-0.817792624,-0.729258567,1.619431752,0.269107972,-1.171857195,0.96001596,1.254056803,-0.536464944,-0.223418686
2-11:00,-0.572247585,-0.531971801,0.602874353,0.113650239,-1.191923337,0.104527578,0.812279047,-0.943072831,1.432954619,0.024624629,-0.043668801,-0.495995716,1.097007546,-0.576383405,-0.426513475,1.81415555,-0.136592142,-1.173516355,-1.122332053,1.092733164,-0.646519308,-1.272480085
2-12:00,0.177975464,-0.977111868,-0.36286196,-0.050268416,-0.030052637,-0.414589817,0.240411441,-0.370207079,0.695979813,-0.407382807,-0.111396072,-0.844275049,-0.120193637,-1.049476316,-0.604751141,1.162358927,-0.883000587,-1.327220403,0.118553503,-0.952082165,-0.453536655,-1.737902179
2-13:00,0.981785872,0.139120824,-1.394094035,0.056454316,0.61384382,-0.559199492,0.023012642,-1.624830419,0.135424379,-0.589443084,-0.144704566,-1.224854481,-0.174480703,-1.192117395,-0.730769056,0.929711128,-1.639355176,-1.234045469,0.85073815,-1.476438567,-0.279929771,-0.955993062
2-14:00,1.383691077,1.249264974,-1.910623359,-0.020842031,0.858147433,-0.670790704,-0.160839386,-0.356003796,-0.419015143,-0.422811644,-0.144704566,-1.987417697,-1.177726978,-1.24031279,-0.775004796,-0.178307687,-1.667500647,-1.058140918,1.198320878,-2.249001976,0.149437255,-2.110239854
2-15:00,1.618135779,1.773556086,-1.676560816,-0.026655875,0.425194687,-0.751601993,-0.168832952,-0.20450211,-0.788646476,-0.217608112,-0.150255982,-2.844774683,-2.457376028,-1.39829859,-0.981294395,-1.074519182,-1.203425947,-0.791204236,1.285799587,-1.304854832,0.669482876,-0.429135251
2-16:00,0.981785872,1.492130147,-0.934449475,0.132093816,-0.714182376,-0.71746426,-0.06753743,-0.176095544,0.054048365,0.734351131,-0.154697115,-2.027441733,-0.223090691,-1.346861353,-0.942021689,-0.632686845,-0.256645842,-0.523380876,0.940542834,-0.16904036,0.086659765,-0.174083944
2-17:00,0.814325371,0.832538102,-0.977243519,0.002333976,-1.001424129,-0.586509678,-0.071599734,-0.251846387,0.785714739,-0.037090719,-0.144704566,-0.854105514,0.523090358,-1.264302425,-0.884407335,1.000951542,-0.613917514,-0.347818906,0.438942589,0.856750953,-0.461286963,-0.305146806
2-18:00,0.412420166,0.764887636,-1.037520495,-0.048829836,-0.638727407,-0.515995673,-0.038184006,-0.611662892,1.155361025,0.811495316,-0.150255982,-0.40049977,0.685596739,-1.105884379,-0.598277618,1.467097772,-0.337785865,-0.325759466,0.909267998,0.832737962,-0.627143539,-1.067694364
2-19:00,0.579880668,0.781800252,-1.547395868,-0.013807875,0.090846271,-0.300760065,0.155103052,-0.725289157,1.045065272,0.132626488,-0.197998157,-0.695413721,0.738819353,-0.725075923,-0.254317763,1.927785782,-0.806418535,-0.454105907,0.896895536,0.178493109,-0.761223856,-0.407725835
2-20:00,0.914801672,1.627431079,-1.769977082,0.00212563,0.523799017,-0.440780733,-0.064916589,-0.270784098,0.46780697,0.888639501,-0.149145699,-1.243813235,0.230720798,-0.943792244,-0.629782097,1.069498288,-0.882593625,-0.281882408,1.116181475,-0.467892947,-0.398509473,-1.19801255
2-21:00,0.278451765,1.451539867,-1.664688079,-0.055973126,0.301169387,-0.328070251,-0.027569598,-0.308659519,0.419881552,0.158855511,-0.150255982,-0.08943577,-0.034505229,-0.818008747,-0.740910908,0.788151818,-0.675067579,-0.30439862,0.891034573,0.07108955,-0.504688684,-0.273684272
2-22:00,0.311943865,1.678168929,-1.081097356,0.043467419,0.312433769,-0.367916261,0.061801096,-0.526443193,0.433578801,1.120072056,-0.146925133,0.411917947,0.34355274,-0.896461341,-0.814493286,1.019878099,-0.18792629,-0.192919187,0.47532352,0.516203082,-0.430285733,-1.458648923
2-23:00,-0.816739917,1.683580966,-0.315631949,0.128224534,0.003717092,-0.158500856,0.256398574,-0.391038561,1.042029747,0.271486021,-0.144704566,1.010171961,0.992336405,-0.751875156,-0.907496233,1.707826574,-0.528634621,-0.254267805,-1.636396818,0.953021217,-0.749598395,-1.588967109
3-00:00,-0.759803347,1.688993004,0.533073093,0.034210906,0.330056322,-0.016129721,0.501578292,0.448848912,1.026403518,0.282286207,-0.144704566,0.656977396,0.900793509,-0.453409505,-0.568715197,1.82209478,-0.274039385,-0.173237653,-1.636396818,0.920931129,-0.791450055,-0.123818358
3-01:00,-0.558850744,0.494285771,-0.53195062,0.120257782,-1.792694305,0.643120269,0.810837584,-0.119282412,1.244333331,1.058356708,-0.101403524,-0.371008375,0.789380837,-0.210919671,-0.590293607,1.713213909,-1.366536195,-0.186806493,-1.636396818,0.943416021,-0.891429019,1.017396616
3-02:00,-1.898534759,0.432047342,0.559297491,0.068726884,-2.455243736,0.241190436,0.159034314,-0.251846387,1.21391826,0.055482303,-0.099182958,-0.005174641,0.868682531,-0.631062485,-0.989494191,1.510338222,-0.723618109,-0.40029404,-1.636396818,1.152547342,-0.930955587,-0.196424205
3-03:00,-1.463137454,-0.531971801,0.770788786,-0.33719055,-1.326393366,0.358489925,0.14173676,-0.526443193,1.092228071,1.289789263,-0.102513807,-0.359071382,0.600795374,-0.381224474,-0.279564503,1.633892492,-0.236777972,-1.030062826,-1.636396818,0.293755466,-0.835626806,1.091864151
3-04:00,-1.496629555,-0.988612447,0.634317537,0.027315647,0.105436105,0.029424565,-0.43419315,-1.823676382,0.255604282,0.435031693,-0.101403524,-1.035266941,0.286781951,-0.72788552,-0.578857049,0.165205791,-0.611345516,-1.220530367,-1.636396818,-0.627033587,-0.481437762,0.436549843
3-05:00,0.010514962,-0.619917407,-0.915792316,-0.144282044,0.615518255,-0.045118812,0.483625528,-2.01305349,0.146833769,1.798940884,-0.102513807,-0.381541017,-0.207833542,-0.767436001,-0.781909887,0.526724309,-1.061013772,-1.146607063,-0.692904506,-1.15117169,-0.710071828,1.601966766
3-06:00,1.283214776,0.578848854,-0.506509039,0.094135169,1.289214976,-0.225209344,0.344851973,-1.217669637,-0.597752281,0.157312627,-0.095852108,-0.730522525,-0.946740833,-1.023109329,-0.804567218,-0.406418784,-1.034105464,-1.281831964,-1.636396818,-2.006907367,-0.508563837,0.695324527
3-07:00,1.986548883,1.328416019,-1.545308353,-0.042301663,1.159768252,-0.454435826,0.217741163,-0.725289157,-0.922882508,1.660081351,-0.088080126,-0.780377026,-1.353716422,-1.165534285,-0.91418554,-0.921192799,-1.415802978,-0.969520277,-0.042135079,-1.546076241,-0.355107752,2.655682386
3-08:00,0.881309571,1.599017884,-1.810161733,-0.079456691,0.340946006,-0.395226447,0.22704515,0.373098069,-0.689012446,-0.088005881,-0.092521259,-0.810570597,-1.196177484,-1.167047145,-1.033082579,-0.849243525,-0.737389693,-1.014398205,1.144344783,-0.038933609,-0.279154741,-0.516634605
3-09:00,1.216230575,1.435303756,-1.517387849,0.111140167,0.132332453,-0.13454848,0.552291575,-0.08140699,0.272337057,1.505792981,0.00962479,-0.019218163,0.652243901,-0.824492433,-0.697538304,0.690825362,-0.243403309,-0.89267497,0.854457254,-0.532509723,-0.812375884,2.860468107
3-10:00,-0.498564964,0.990163688,-0.850427024,0.098014372,-0.853628874,-0.065041817,0.692244508,-0.032168942,0.790275504,1.042927871,0.022948188,0.489157315,0.802863899,-0.862313931,-0.93835336,1.125356444,-0.227255068,-0.147665094,-1.628246704,1.317800379,-0.851902452,2.097175873
3-11:00,-0.294263152,0.719561823,-0.439317172,0.087170461,-0.457197551,0.171683774,0.966908693,-1.056699095,1.251256722,0.348630206,0.082903477,0.951189171,1.364362477,-0.484963441,-0.648986882,1.426763647,-0.200761862,-0.490647731,-1.636396818,1.201228223,-0.968157062,0.08469074
3-12:00,-0.398088663,0.319071064,0.115570228,0.129018233,0.212166714,0.065912765,0.880158841,-0.810508855,0.682282564,1.660081351,-0.686522739,1.111285316,1.4218429,-0.467889736,-0.244175911,1.489568629,-0.415621359,-1.032984828,-1.616825497,0.245947784,-0.76509901,1.836539501
3-13:00,-0.351199722,-0.131481041,-0.42535692,0.005568298,0.370793106,-0.183460576,0.7056108,-1.378640179,0.101211163,0.069368256,-1.088445235,0.889397677,0.98328856,-0.703031393,-0.612735153,0.854926415,-1.240890841,-1.724370921,-1.636396818,-0.533164623,-0.544215251,0.528517249
3-14:00,-0.699517566,0.240596523,-0.441013278,0.154565415,0.638854965,-0.021837998,0.88959387,-1.549079576,-0.025802411,0.317772532,-0.886373704,0.586057613,0.829830023,-0.656997227,-0.78471508,0.662825398,1.049050061,-1.995082697,0.147232331,0.353787943,-0.772849317,1.575903128
3-15:00,0.208118354,0.375897455,-0.191163907,0.033129491,1.096608087,-0.09470247,0.846874154,-1.549079576,0.140762718,0.635606574,0.017396772,0.434387581,0.451772055,-0.805041376,-0.836503264,0.137205827,0.836266069,-1.955827105,-0.930031093,-0.468547847,-1.395974026,1.286969093
3-16:00,-0.267469471,0.054557741,0.443701386,0.241902052,0.973624917,-0.208532222,0.69486535,-1.179794216,-0.111754144,1.505792981,0.016286489,0.128238813,0.101744663,-0.836379189,-0.753210602,0.011879408,0.207013756,-1.307881449,-1.628246704,-0.280373318,-1.360322612,1.203565453
3-17:00,-0.17369159,-0.312107786,0.580694513,0.606338801,0.434573867,-0.216479039,0.657649401,-1.359702468,0.022108054,0.785266293,0.017396772,0.418939707,0.340004565,-0.746255962,-0.792914876,-0.15037861,0.381714273,-1.402917061,-0.88027121,-0.060108701,-1.596706986,1.270213897
